feature_set,iteration,fold,class_label,precision,recall,f1
understand追加前 (excl3),1,1,クラス0(=FALSE),0.6,0.6521739130434783,0.625
understand追加前 (excl3),1,1,クラス1(=TRUE),0.6363636363636364,0.5833333333333334,0.6086956521739131
understand追加前 (excl3),1,2,クラス0(=FALSE),0.5555555555555556,0.6521739130434783,0.6
understand追加前 (excl3),1,2,クラス1(=TRUE),0.6,0.5,0.5454545454545454
understand追加前 (excl3),1,3,クラス0(=FALSE),0.6,0.6521739130434783,0.625
understand追加前 (excl3),1,3,クラス1(=TRUE),0.6363636363636364,0.5833333333333334,0.6086956521739131
understand追加前 (excl3),1,4,クラス0(=FALSE),0.5652173913043478,0.5416666666666666,0.5531914893617021
understand追加前 (excl3),1,4,クラス1(=TRUE),0.5416666666666666,0.5652173913043478,0.5531914893617021
understand追加前 (excl3),1,5,クラス0(=FALSE),0.631578947368421,0.5,0.5581395348837209
understand追加前 (excl3),1,5,クラス1(=TRUE),0.5714285714285714,0.6956521739130435,0.6274509803921569
understand追加前 (excl3),1,6,クラス0(=FALSE),0.5517241379310345,0.6666666666666666,0.6037735849056604
understand追加前 (excl3),1,6,クラス1(=TRUE),0.5555555555555556,0.43478260869565216,0.4878048780487805
understand追加前 (excl3),1,7,クラス0(=FALSE),0.6666666666666666,0.6956521739130435,0.6808510638297872
understand追加前 (excl3),1,7,クラス1(=TRUE),0.6818181818181818,0.6521739130434783,0.6666666666666666
understand追加前 (excl3),1,8,クラス0(=FALSE),0.5,0.5652173913043478,0.5306122448979592
understand追加前 (excl3),1,8,クラス1(=TRUE),0.5,0.43478260869565216,0.46511627906976744
understand追加前 (excl3),1,9,クラス0(=FALSE),0.5238095238095238,0.4782608695652174,0.5
understand追加前 (excl3),1,9,クラス1(=TRUE),0.52,0.5652173913043478,0.5416666666666666
understand追加前 (excl3),1,10,クラス0(=FALSE),0.45454545454545453,0.43478260869565216,0.4444444444444444
understand追加前 (excl3),1,10,クラス1(=TRUE),0.4583333333333333,0.4782608695652174,0.46808510638297873
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス0(FALSE),0.5649097677181003,0.5838768115942029,0.5721012362323276
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス1(TRUE),0.570152958152958,0.5492753623188407,0.5572827916391091
understand追加前 (excl3),2,1,クラス0(=FALSE),0.5833333333333334,0.6086956521739131,0.5957446808510638
understand追加前 (excl3),2,1,クラス1(=TRUE),0.6086956521739131,0.5833333333333334,0.5957446808510638
understand追加前 (excl3),2,2,クラス0(=FALSE),0.7368421052631579,0.6086956521739131,0.6666666666666666
understand追加前 (excl3),2,2,クラス1(=TRUE),0.6785714285714286,0.7916666666666666,0.7307692307692307
understand追加前 (excl3),2,3,クラス0(=FALSE),0.6086956521739131,0.6086956521739131,0.6086956521739131
understand追加前 (excl3),2,3,クラス1(=TRUE),0.625,0.625,0.625
understand追加前 (excl3),2,4,クラス0(=FALSE),0.5384615384615384,0.5833333333333334,0.56
understand追加前 (excl3),2,4,クラス1(=TRUE),0.5238095238095238,0.4782608695652174,0.5
understand追加前 (excl3),2,5,クラス0(=FALSE),0.5217391304347826,0.5,0.5106382978723404
understand追加前 (excl3),2,5,クラス1(=TRUE),0.5,0.5217391304347826,0.5106382978723404
understand追加前 (excl3),2,6,クラス0(=FALSE),0.5454545454545454,0.5,0.5217391304347826
understand追加前 (excl3),2,6,クラス1(=TRUE),0.52,0.5652173913043478,0.5416666666666666
understand追加前 (excl3),2,7,クラス0(=FALSE),0.6190476190476191,0.5652173913043478,0.5909090909090909
understand追加前 (excl3),2,7,クラス1(=TRUE),0.6,0.6521739130434783,0.625
understand追加前 (excl3),2,8,クラス0(=FALSE),0.5909090909090909,0.5652173913043478,0.5777777777777777
understand追加前 (excl3),2,8,クラス1(=TRUE),0.5833333333333334,0.6086956521739131,0.5957446808510638
understand追加前 (excl3),2,9,クラス0(=FALSE),0.6896551724137931,0.8695652173913043,0.7692307692307693
understand追加前 (excl3),2,9,クラス1(=TRUE),0.8235294117647058,0.6086956521739131,0.7
understand追加前 (excl3),2,10,クラス0(=FALSE),0.6,0.782608695652174,0.6792452830188679
understand追加前 (excl3),2,10,クラス1(=TRUE),0.6875,0.4782608695652174,0.5641025641025641
understand追加前 (excl3),iteration_2,avg_of_10folds,クラス0(FALSE),0.6034138187491773,0.6192028985507246,0.6080647348935273
understand追加前 (excl3),iteration_2,avg_of_10folds,クラス1(TRUE),0.6150439349652904,0.5913043478260869,0.5988666121112929
understand追加前 (excl3),3,1,クラス0(=FALSE),0.5714285714285714,0.6956521739130435,0.6274509803921569
understand追加前 (excl3),3,1,クラス1(=TRUE),0.631578947368421,0.5,0.5581395348837209
understand追加前 (excl3),3,2,クラス0(=FALSE),0.64,0.6956521739130435,0.6666666666666666
understand追加前 (excl3),3,2,クラス1(=TRUE),0.6818181818181818,0.625,0.6521739130434783
understand追加前 (excl3),3,3,クラス0(=FALSE),0.7083333333333334,0.7391304347826086,0.723404255319149
understand追加前 (excl3),3,3,クラス1(=TRUE),0.7391304347826086,0.7083333333333334,0.723404255319149
understand追加前 (excl3),3,4,クラス0(=FALSE),0.6538461538461539,0.7083333333333334,0.68
understand追加前 (excl3),3,4,クラス1(=TRUE),0.6666666666666666,0.6086956521739131,0.6363636363636364
understand追加前 (excl3),3,5,クラス0(=FALSE),0.6818181818181818,0.625,0.6521739130434783
understand追加前 (excl3),3,5,クラス1(=TRUE),0.64,0.6956521739130435,0.6666666666666666
understand追加前 (excl3),3,6,クラス0(=FALSE),0.56,0.5833333333333334,0.5714285714285714
understand追加前 (excl3),3,6,クラス1(=TRUE),0.5454545454545454,0.5217391304347826,0.5333333333333333
understand追加前 (excl3),3,7,クラス0(=FALSE),0.7058823529411765,0.5217391304347826,0.6
understand追加前 (excl3),3,7,クラス1(=TRUE),0.6206896551724138,0.782608695652174,0.6923076923076923
understand追加前 (excl3),3,8,クラス0(=FALSE),0.625,0.6521739130434783,0.6382978723404256
understand追加前 (excl3),3,8,クラス1(=TRUE),0.6363636363636364,0.6086956521739131,0.6222222222222222
understand追加前 (excl3),3,9,クラス0(=FALSE),0.5882352941176471,0.43478260869565216,0.5
understand追加前 (excl3),3,9,クラス1(=TRUE),0.5517241379310345,0.6956521739130435,0.6153846153846154
understand追加前 (excl3),3,10,クラス0(=FALSE),0.64,0.6956521739130435,0.6666666666666666
understand追加前 (excl3),3,10,クラス1(=TRUE),0.6666666666666666,0.6086956521739131,0.6363636363636364
understand追加前 (excl3),iteration_3,avg_of_10folds,クラス0(FALSE),0.6374543887485064,0.6351449275362319,0.6326088925857115
understand追加前 (excl3),iteration_3,avg_of_10folds,クラス1(TRUE),0.6380092872224176,0.6355072463768117,0.6336359505888151
understand追加前 (excl3),4,1,クラス0(=FALSE),0.6296296296296297,0.7391304347826086,0.68
understand追加前 (excl3),4,1,クラス1(=TRUE),0.7,0.5833333333333334,0.6363636363636364
understand追加前 (excl3),4,2,クラス0(=FALSE),0.6521739130434783,0.6521739130434783,0.6521739130434783
understand追加前 (excl3),4,2,クラス1(=TRUE),0.6666666666666666,0.6666666666666666,0.6666666666666666
understand追加前 (excl3),4,3,クラス0(=FALSE),0.5769230769230769,0.6521739130434783,0.6122448979591837
understand追加前 (excl3),4,3,クラス1(=TRUE),0.6190476190476191,0.5416666666666666,0.5777777777777777
understand追加前 (excl3),4,4,クラス0(=FALSE),0.7142857142857143,0.625,0.6666666666666666
understand追加前 (excl3),4,4,クラス1(=TRUE),0.6538461538461539,0.7391304347826086,0.6938775510204082
understand追加前 (excl3),4,5,クラス0(=FALSE),0.5,0.375,0.42857142857142855
understand追加前 (excl3),4,5,クラス1(=TRUE),0.4827586206896552,0.6086956521739131,0.5384615384615384
understand追加前 (excl3),4,6,クラス0(=FALSE),0.5416666666666666,0.5416666666666666,0.5416666666666666
understand追加前 (excl3),4,6,クラス1(=TRUE),0.5217391304347826,0.5217391304347826,0.5217391304347826
understand追加前 (excl3),4,7,クラス0(=FALSE),0.5714285714285714,0.6956521739130435,0.6274509803921569
understand追加前 (excl3),4,7,クラス1(=TRUE),0.6111111111111112,0.4782608695652174,0.5365853658536586
understand追加前 (excl3),4,8,クラス0(=FALSE),0.68,0.7391304347826086,0.7083333333333334
understand追加前 (excl3),4,8,クラス1(=TRUE),0.7142857142857143,0.6521739130434783,0.6818181818181818
understand追加前 (excl3),4,9,クラス0(=FALSE),0.6296296296296297,0.7391304347826086,0.68
understand追加前 (excl3),4,9,クラス1(=TRUE),0.6842105263157895,0.5652173913043478,0.6190476190476191
understand追加前 (excl3),4,10,クラス0(=FALSE),0.5,0.43478260869565216,0.46511627906976744
understand追加前 (excl3),4,10,クラス1(=TRUE),0.5,0.5652173913043478,0.5306122448979592
understand追加前 (excl3),iteration_4,avg_of_10folds,クラス0(FALSE),0.5995737201606767,0.6193840579710146,0.6062224165702681
understand追加前 (excl3),iteration_4,avg_of_10folds,クラス1(TRUE),0.6153665542397493,0.5922101449275362,0.6002949712342229
understand追加前 (excl3),5,1,クラス0(=FALSE),0.6785714285714286,0.8260869565217391,0.7450980392156863
understand追加前 (excl3),5,1,クラス1(=TRUE),0.7894736842105263,0.625,0.6976744186046512
understand追加前 (excl3),5,2,クラス0(=FALSE),0.5454545454545454,0.5217391304347826,0.5333333333333333
understand追加前 (excl3),5,2,クラス1(=TRUE),0.56,0.5833333333333334,0.5714285714285714
understand追加前 (excl3),5,3,クラス0(=FALSE),0.65,0.5652173913043478,0.6046511627906976
understand追加前 (excl3),5,3,クラス1(=TRUE),0.6296296296296297,0.7083333333333334,0.6666666666666666
understand追加前 (excl3),5,4,クラス0(=FALSE),0.6296296296296297,0.7083333333333334,0.6666666666666666
understand追加前 (excl3),5,4,クラス1(=TRUE),0.65,0.5652173913043478,0.6046511627906976
understand追加前 (excl3),5,5,クラス0(=FALSE),0.6153846153846154,0.6666666666666666,0.64
understand追加前 (excl3),5,5,クラス1(=TRUE),0.6190476190476191,0.5652173913043478,0.5909090909090909
understand追加前 (excl3),5,6,クラス0(=FALSE),0.55,0.4583333333333333,0.5
understand追加前 (excl3),5,6,クラス1(=TRUE),0.5185185185185185,0.6086956521739131,0.56
understand追加前 (excl3),5,7,クラス0(=FALSE),0.6428571428571429,0.782608695652174,0.7058823529411765
understand追加前 (excl3),5,7,クラス1(=TRUE),0.7222222222222222,0.5652173913043478,0.6341463414634146
understand追加前 (excl3),5,8,クラス0(=FALSE),0.6842105263157895,0.5652173913043478,0.6190476190476191
understand追加前 (excl3),5,8,クラス1(=TRUE),0.6296296296296297,0.7391304347826086,0.68
understand追加前 (excl3),5,9,クラス0(=FALSE),0.6451612903225806,0.8695652173913043,0.7407407407407407
understand追加前 (excl3),5,9,クラス1(=TRUE),0.8,0.5217391304347826,0.631578947368421
understand追加前 (excl3),5,10,クラス0(=FALSE),0.6071428571428571,0.7391304347826086,0.6666666666666666
understand追加前 (excl3),5,10,クラス1(=TRUE),0.6666666666666666,0.5217391304347826,0.5853658536585366
understand追加前 (excl3),iteration_5,avg_of_10folds,クラス0(FALSE),0.6248412035678589,0.6702898550724637,0.6422086581402587
understand追加前 (excl3),iteration_5,avg_of_10folds,クラス1(TRUE),0.6585187969924813,0.6003623188405797,0.6222421052890049
understand追加前 (excl3),6,1,クラス0(=FALSE),0.5862068965517241,0.7391304347826086,0.6538461538461539
understand追加前 (excl3),6,1,クラス1(=TRUE),0.6666666666666666,0.5,0.5714285714285714
